rmat20
gluon compute time,3.6833477875e-05,1.978902534375e-05,1.0592886749999999e-05,5.791363218750001e-06,3.14069309375e-06
gluon communication time,2.0237726722258227e-05,1.754790825018854e-05,1.58668827185741e-05,1.325530958919618e-05,1.0903457321305371e-05
gluon time,5.7071204597258226e-05,3.7336933593938535e-05,2.6459769468574095e-05,1.904667280794618e-05,1.404415041505537e-05
gluon speedup,4.429832466023428,3.882750564806295,3.013447456324225,2.312352684592011,1.7027106868896151

Round 2
master access,300968,201539,131112,76734,42643
max host master access,97911,30284,11309,3099,862
mirror access,2195480,3274881,4657219,5922293,7182390
max host mirror access,698085,482278,397429,227508,137741
mirror write,118320,301796,661577,1173260,1845866
mirror update_ratio,0.06207833349685385,0.10181920744605838,0.1551715119967745,0.20298914430402523,0.24763807764164894
baseline local time,1.8079738749999999e-06,6.491693437500001e-07,3.0243875e-07,1.3512321875e-07,7.464509375e-08
baseline remote time,8.7260625e-05,6.028475e-05,4.9678625e-05,2.84385e-05,1.7217625e-05
baseline time,8.7260625e-05,6.028475e-05,4.9678625e-05,2.84385e-05,1.7217625e-05
gluon compute time,1.2977333875e-05,8.36561734375e-06,6.66130275e-06,3.7752512187499998e-06,2.2785010937499997e-06
gluon communication time,1.2420007810211795e-06,1.8867534077079558e-06,2.8093147430391394e-06,3.326061358905472e-06,3.59429464420938e-06
gluon time,1.421933465602118e-05,1.0252370751457956e-05,9.470617493039139e-06,7.101312577655472e-06,5.87279573795938e-06
gluon speedup,6.136758653686336,5.880079004305136,5.245552894150098,4.00468218924523,2.9317595517092867

Round 3
master access,2800,2093,1509,923,532
max host master access,1008,500,267,91,25
mirror access,19453,33211,52366,70931,90792
max host mirror access,7094,7814,8585,7162,6091
mirror write,974,2739,6603,12629,21312
mirror update_ratio,0.000511023468779037,0.0009240772216820432,0.0015487199429767087,0.0021849802289480033,0.0028591797620730985
baseline local time,2.57525875e-07,1.7262534375e-07,1.2576675e-07,8.699521874999999e-08,6.125309375000001e-08
